Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
81581540,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
81632560,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
81683580,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
81734600,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
81785620,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
81836640,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
81887660,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
81938680,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
81989700,-82.68,142.85,0.0,0.00,0.0,0.0,0.0
82040720,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
82091740,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
82142760,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
82193780,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
82244800,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
82295820,-75.64,82.75,0.0,0.00,0.0,0.0,0.0
82346840,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
82397860,-82.63,146.19,0.0,0.00,0.0,0.0,0.0
82448880,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
82499900,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
82550920,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
82601940,-79.62,101.19,0.0,0.00,0.0,0.0,0.0
82652960,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
82703980,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
82755000,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
82806020,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
82857040,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
82908060,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
82959080,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
83010100,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
83061120,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
83112140,-79.62,101.19,0.0,0.00,0.0,0.0,0.0
83163160,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
83214180,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
83265200,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
83316220,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
83367240,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
83418260,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
83469280,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
83520300,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
83571320,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
83622340,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
83673360,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
83724380,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
83775400,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
83826420,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
83877440,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
83928460,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
83979480,-82.63,56.19,0.0,0.00,0.0,0.0,0.0
84030500,-76.61,56.19,0.0,0.00,0.0,0.0,0.0
84081520,-82.58,59.54,0.0,0.00,0.0,0.0,0.0
84132540,-79.57,-165.46,0.0,0.00,0.0,0.0,0.0
84183560,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
84234580,-82.58,-120.46,0.0,0.00,0.0,0.0,0.0
84285600,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
84336620,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
84387640,-82.58,59.54,0.0,0.00,0.0,0.0,0.0
84438660,-82.58,-120.46,0.0,0.00,0.0,0.0,0.0
84489680,-82.58,-120.46,0.0,0.00,0.0,0.0,0.0
84540700,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
84591720,-82.58,-120.46,0.0,0.00,0.0,0.0,0.0
84642740,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
84693760,-82.58,59.54,0.0,0.00,0.0,0.0,0.0
84744780,-82.58,149.54,0.0,0.00,0.0,0.0,0.0
84795800,-82.58,59.54,0.0,0.00,0.0,0.0,0.0
84846820,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
84897840,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
84948860,-82.58,149.54,0.0,0.00,0.0,0.0,0.0
84999880,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85050900,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85101920,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85152940,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85203960,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85254980,-82.58,-30.46,0.0,0.00,0.0,0.0,0.0
85306000,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85357020,-82.58,-30.46,0.0,0.00,0.0,0.0,0.0
85408040,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85459060,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85510080,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85561100,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85612120,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85663140,-82.58,-120.46,0.0,0.00,0.0,0.0,0.0
85714160,-82.58,59.54,0.0,0.00,0.0,0.0,0.0
85765180,-82.58,-120.46,0.0,0.00,0.0,0.0,0.0
85816200,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85867220,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85918240,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
85969260,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
86020280,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
86071300,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
86122320,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86173340,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86224360,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86275380,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86326400,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86377420,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
86428440,-79.52,107.89,0.0,0.00,0.0,0.0,0.0
86479460,-79.52,107.89,0.0,0.00,0.0,0.0,0.0
86530480,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86581500,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86632520,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86683540,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86734560,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86785580,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86836600,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
86887620,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86938640,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86989660,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
87040680,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87091700,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87142720,-75.54,89.46,0.0,0.00,0.0,0.0,0.0
87193740,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
87244760,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
87295780,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
