"Frequency(Hz)","Transmission Loss(dB)","±Phase(deg)"
81377460.000,90.000,180.000
81428480.000,82.683,52.846
81479500.000,79.672,7.846
81530520.000,82.683,52.846
81581540.000,90.000,180.000
81632560.000,90.000,180.000
81683580.000,90.000,180.000
81734600.000,82.683,-37.154
81785620.000,90.000,180.000
81836640.000,90.000,180.000
81887660.000,90.000,180.000
81938680.000,82.683,-37.154
81989700.000,90.000,180.000
82040720.000,90.000,180.000
82091740.000,76.612,56.187
82142760.000,76.612,56.187
82193780.000,82.633,56.187
82244800.000,76.612,56.187
82295820.000,82.633,56.187
82346840.000,82.633,56.187
82397860.000,82.633,56.187
82448880.000,82.633,56.187
82499900.000,82.633,56.187
82550920.000,76.612,56.187
82601940.000,82.633,56.187
82652960.000,76.612,56.187
82703980.000,76.612,56.187
82755000.000,75.643,82.752
82806020.000,76.612,56.187
82857040.000,82.633,56.187
82908060.000,76.612,56.187
82959080.000,76.612,56.187
83010100.000,76.612,56.187
83061120.000,82.633,56.187
83112140.000,76.612,56.187
83163160.000,82.633,56.187
83214180.000,82.633,56.187
83265200.000,82.633,56.187
83316220.000,82.633,56.187
83367240.000,76.612,56.187
83418260.000,82.633,56.187
83469280.000,76.612,56.187
83520300.000,82.633,56.187
83571320.000,76.612,56.187
83622340.000,79.622,11.187
83673360.000,76.612,56.187
83724380.000,76.612,56.187
83775400.000,82.633,56.187
83826420.000,76.612,56.187
83877440.000,82.633,56.187
83928460.000,76.612,56.187
83979480.000,76.612,56.187
84030500.000,82.633,56.187
84081520.000,82.580,59.539
84132540.000,90.000,180.000
84183560.000,82.580,59.539
84234580.000,82.580,59.539
84285600.000,90.000,180.000
84336620.000,90.000,180.000
84387640.000,90.000,180.000
84438660.000,90.000,180.000
84489680.000,82.580,59.539
84540700.000,90.000,180.000
84591720.000,90.000,180.000
84642740.000,90.000,180.000
84693760.000,90.000,180.000
84744780.000,90.000,180.000
84795800.000,90.000,180.000
84846820.000,82.580,59.539
84897840.000,90.000,180.000
84948860.000,82.580,59.539
84999880.000,90.000,180.000
85050900.000,82.580,149.539
85101920.000,90.000,180.000
85152940.000,90.000,180.000
85203960.000,82.580,-30.461
85254980.000,82.580,-30.461
85306000.000,82.580,59.539
85357020.000,82.580,59.539
85408040.000,90.000,180.000
85459060.000,82.580,59.539
85510080.000,90.000,180.000
85561100.000,90.000,180.000
85612120.000,90.000,180.000
85663140.000,82.580,59.539
85714160.000,90.000,180.000
85765180.000,90.000,180.000
85816200.000,90.000,180.000
85867220.000,90.000,180.000
85918240.000,82.580,59.539
85969260.000,90.000,180.000
86020280.000,90.000,180.000
86071300.000,76.506,62.891
86122320.000,76.506,62.891
86173340.000,76.506,62.891
86224360.000,76.506,62.891
86275380.000,76.506,62.891
86326400.000,79.516,17.891
86377420.000,82.526,62.891
86428440.000,75.536,89.456
86479460.000,82.526,62.891
86530480.000,75.536,36.326
86581500.000,76.506,62.891
86632520.000,82.526,62.891
86683540.000,82.526,62.891
86734560.000,75.536,36.326
86785580.000,82.526,62.891
86836600.000,79.516,17.891
86887620.000,76.506,62.891
86938640.000,82.526,62.891
86989660.000,76.506,62.891
87040680.000,75.536,36.326
87091700.000,82.526,62.891
87142720.000,76.506,62.891
87193740.000,82.526,62.891
87244760.000,82.526,62.891
87295780.000,76.506,62.891
87346800.000,82.526,62.891
87397820.000,76.506,62.891
87448840.000,76.506,62.891
87499860.000,82.526,62.891
87550880.000,76.506,62.891
87601900.000,76.506,62.891
87652920.000,76.506,62.891
87703940.000,76.506,62.891
87754960.000,82.526,62.891
87805980.000,76.506,62.891
87857000.000,76.506,62.891
87908020.000,82.526,62.891
87959040.000,82.526,62.891
88010060.000,76.506,62.891
88061080.000,90.000,180.000
88112100.000,82.467,66.227
88163120.000,82.467,66.227
88214140.000,82.467,66.227
88265160.000,90.000,180.000
88316180.000,82.467,-23.773
88367200.000,90.000,180.000
88418220.000,82.467,66.227
88469240.000,90.000,180.000
88520260.000,90.000,180.000
88571280.000,82.467,66.227
88622300.000,90.000,180.000
88673320.000,82.467,66.227
88724340.000,90.000,180.000
88775360.000,82.467,66.227
88826380.000,82.467,-113.773
88877400.000,82.467,66.227
88928420.000,90.000,180.000
88979440.000,90.000,180.000
89030460.000,79.456,111.227
89081480.000,82.467,-23.773
89132500.000,79.456,21.227
89183520.000,82.467,156.227
89234540.000,90.000,180.000
89285560.000,82.467,66.227
89336580.000,82.467,66.227
89387600.000,90.000,180.000
89438620.000,82.467,66.227
89489640.000,82.467,-113.773
89540660.000,90.000,180.000
89591680.000,79.456,21.227
89642700.000,90.000,180.000
89693720.000,82.467,66.227
89744740.000,82.467,66.227
89795760.000,82.467,66.227
89846780.000,90.000,180.000
89897800.000,82.467,66.227
89948820.000,90.000,180.000
89999840.000,90.000,180.000
90050860.000,82.467,-23.773
90101880.000,90.000,180.000
90152900.000,82.404,69.564
90203920.000,82.404,69.564
90254940.000,90.000,180.000
90305960.000,90.000,180.000
90356980.000,90.000,180.000
90408000.000,82.404,69.564
90459020.000,82.404,69.564
90510040.000,82.404,69.564
90561060.000,82.404,69.564
90612080.000,90.000,180.000
90663100.000,90.000,180.000
90714120.000,82.404,69.564
90765140.000,82.404,69.564
90816160.000,90.000,180.000
90867180.000,82.404,159.564
90918200.000,79.394,24.564
90969220.000,90.000,180.000
91020240.000,82.404,69.564
91071260.000,90.000,180.000
91122280.000,90.000,180.000
91173300.000,90.000,180.000
91224320.000,90.000,180.000
91275340.000,82.404,-110.436
91326360.000,82.404,69.564
91377380.000,90.000,180.000
91428400.000,90.000,180.000
91479420.000,90.000,180.000
91530440.000,82.404,69.564
91581460.000,90.000,180.000
91632480.000,82.404,69.564
91683500.000,90.000,180.000
91734520.000,82.404,159.564
91785540.000,79.394,24.564
91836560.000,90.000,180.000
91887580.000,90.000,180.000
91938600.000,90.000,180.000
91989620.000,90.000,180.000
92040640.000,90.000,180.000
92091660.000,79.331,117.906
92142680.000,82.342,72.906
92193700.000,79.331,117.906
92244720.000,82.342,72.906
92295740.000,90.000,180.000
92346760.000,82.342,72.906
92397780.000,82.342,-107.094
