Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
86071300,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
86122320,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
86173340,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86224360,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
86275380,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86326400,-75.54,89.46,0.0,0.00,0.0,0.0,0.0
86377420,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86428440,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86479460,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86530480,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
86581500,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86632520,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
86683540,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86734560,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86785580,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86836600,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86887620,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
86938640,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
86989660,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87040680,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87091700,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87142720,-79.52,17.89,0.0,0.00,0.0,0.0,0.0
87193740,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87244760,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87295780,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87346800,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87397820,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
87448840,-79.52,107.89,0.0,0.00,0.0,0.0,0.0
87499860,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87550880,-79.52,107.89,0.0,0.00,0.0,0.0,0.0
87601900,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87652920,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87703940,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87754960,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
87805980,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87857000,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87908020,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87959040,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88010060,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
88061080,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88112100,-82.47,66.23,0.0,0.00,0.0,0.0,0.0
88163120,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88214140,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88265160,-82.47,-113.77,0.0,0.00,0.0,0.0,0.0
88316180,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88367200,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88418220,-82.47,-113.77,0.0,0.00,0.0,0.0,0.0
88469240,-82.47,-113.77,0.0,0.00,0.0,0.0,0.0
88520260,-82.47,66.23,0.0,0.00,0.0,0.0,0.0
88571280,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88622300,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88673320,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88724340,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88775360,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88826380,-79.46,-68.77,0.0,0.00,0.0,0.0,0.0
88877400,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88928420,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88979440,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89030460,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89081480,-79.46,21.23,0.0,0.00,0.0,0.0,0.0
89132500,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89183520,-79.46,-68.77,0.0,0.00,0.0,0.0,0.0
89234540,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89285560,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89336580,-82.47,66.23,0.0,0.00,0.0,0.0,0.0
89387600,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89438620,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89489640,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89540660,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89591680,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
